"","gdenr","gemeinde_d","value","pct_gde","top_names_table"
"1",1,"Aeugst am Albis",13,0.65,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Frei $/td£ $td£ 13 $/td£  $td£ 0.65% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Keller $/td£ $td£ 13 $/td£  $td£ 0.65% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 13 $/td£  $td£ 0.65% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Weiss $/td£ $td£ 13 $/td£  $td£ 0.65% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Müller $/td£ $td£ 12 $/td£  $td£ 0.6% $/td£ $/tr£¢ $/table£"
"2",2,"Affoltern am Albis",74,0.59,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Schneebeli $/td£ $td£ 74 $/td£  $td£ 0.59% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Krasniqi $/td£ $td£ 68 $/td£  $td£ 0.54% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 65 $/td£  $td£ 0.52% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 59 $/td£  $td£ 0.47% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Shala $/td£ $td£ 57 $/td£  $td£ 0.45% $/td£ $/tr£¢ $/table£"
"3",3,"Bonstetten",53,0.94,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 53 $/td£  $td£ 0.94% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 47 $/td£  $td£ 0.84% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Huber $/td£ $td£ 32 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Fischer $/td£ $td£ 30 $/td£  $td£ 0.53% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Glättli $/td£ $td£ 26 $/td£  $td£ 0.46% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Roth $/td£ $td£ 26 $/td£  $td£ 0.46% $/td£ $/tr£¢ $/table£"
"4",4,"Hausen am Albis",36,0.93,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Huber $/td£ $td£ 36 $/td£  $td£ 0.93% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 35 $/td£  $td£ 0.9% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Baumann $/td£ $td£ 27 $/td£  $td£ 0.7% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Widmer $/td£ $td£ 23 $/td£  $td£ 0.59% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Odermatt $/td£ $td£ 21 $/td£  $td£ 0.54% $/td£ $/tr£¢ $/table£"
"5",5,"Hedingen",26,0.67,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Schmid $/td£ $td£ 26 $/td£  $td£ 0.67% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Spillmann $/td£ $td£ 23 $/td£  $td£ 0.59% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 20 $/td£  $td£ 0.52% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Keller $/td£ $td£ 19 $/td£  $td£ 0.49% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Grond $/td£ $td£ 17 $/td£  $td£ 0.44% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Huber $/td£ $td£ 17 $/td£  $td£ 0.44% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meili $/td£ $td£ 17 $/td£  $td£ 0.44% $/td£ $/tr£
¢ $/table£"
"6",6,"Kappel am Albis",26,1.97,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 26 $/td£  $td£ 1.97% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Steinmann $/td£ $td£ 16 $/td£  $td£ 1.21% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schneebeli $/td£ $td£ 14 $/td£  $td£ 1.06% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Wüest $/td£ $td£ 14 $/td£  $td£ 1.06% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Berweger $/td£ $td£ 13 $/td£  $td£ 0.98% $/td£ $/tr£¢ $/table£"
"7",7,"Knonau",21,0.87,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Huber $/td£ $td£ 21 $/td£  $td£ 0.87% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Bucher $/td£ $td£ 17 $/td£  $td£ 0.7% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 15 $/td£  $td£ 0.62% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Baumgartner $/td£ $td£ 14 $/td£  $td£ 0.58% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Häfliger $/td£ $td£ 14 $/td£  $td£ 0.58% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 14 $/td£  $td£ 0.58% $/td£ $/tr£¢ $/table£"
"8",8,"Maschwanden",21,3.26,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Studer $/td£ $td£ 21 $/td£  $td£ 3.26% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Künzi $/td£ $td£ 14 $/td£  $td£ 2.17% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Wetli $/td£ $td£ 11 $/td£  $td£ 1.71% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Maurer $/td£ $td£ 10 $/td£  $td£ 1.55% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Bachmann $/td£ $td£ 9 $/td£  $td£ 1.4% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Frei $/td£ $td£ 9 $/td£  $td£ 1.4% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Stehli $/td£ $td£ 9 $/td£  $td£ 1.4% $/td£ $/tr£
¢ $/table£"
"9",9,"Mettmenstetten",66,1.17,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 66 $/td£  $td£ 1.17% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Suter $/td£ $td£ 56 $/td£  $td£ 0.99% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Meier $/td£ $td£ 39 $/td£  $td£ 0.69% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schmid $/td£ $td£ 38 $/td£  $td£ 0.67% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Baumann $/td£ $td£ 36 $/td£  $td£ 0.64% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Huber $/td£ $td£ 36 $/td£  $td£ 0.64% $/td£ $/tr£¢ $/table£"
"10",10,"Obfelden",54,0.93,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 54 $/td£  $td£ 0.93% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 43 $/td£  $td£ 0.74% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Huber $/td£ $td£ 39 $/td£  $td£ 0.67% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Häberling $/td£ $td£ 38 $/td£  $td£ 0.66% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Weber $/td£ $td£ 31 $/td£  $td£ 0.54% $/td£ $/tr£¢ $/table£"
